date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:59:28	30194/30194	---M-Z	200	added ('OK')	text/html	date:Thu,%2015%20Jun%202023%2021:25:49%20GMT	https://duruthemes.com/demo/html/ovon/multipage-parallax/index.html	C:/My%20Web%20Sites/bride1/duruthemes.com/demo/html/ovon/multipage-parallax/index.html	(from )
11:59:30	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Sep%202023%2005:59:29%20GMT	https://duruthemes.com/robots.txt		(from )
11:59:30	2485/2485	---M--	200	added ('OK')	image/png	date:Thu,%2015%20Jun%202023%2021:26:01%20GMT	https://duruthemes.com/demo/html/ovon/multipage-parallax/img/favicon.png	C:/My%20Web%20Sites/bride1/duruthemes.com/demo/html/ovon/multipage-parallax/img/favicon.png	(from https://duruthemes.com/demo/html/ovon/multipage-parallax/index.html)
12:01:01	71552/71552	---M-Z	200	added ('OK')	text/css	date:Thu,%2015%20Jun%202023%2021:25:57%20GMT	https://duruthemes.com/demo/html/ovon/multipage-parallax/css/animate.css	C:/My%20Web%20Sites/bride1/duruthemes.com/demo/html/ovon/multipage-parallax/css/animate.css	(from https://duruthemes.com/demo/html/ovon/multipage-parallax/index.html)
12:01:02	16402/16402	---M-Z	200	added ('OK')	text/css	date:Thu,%2015%20Jun%202023%2021:25:57%20GMT	https://duruthemes.com/demo/html/ovon/multipage-parallax/css/themify-icons.css	C:/My%20Web%20Sites/bride1/duruthemes.com/demo/html/ovon/multipage-parallax/css/themify-icons.css	(from https://duruthemes.com/demo/html/ovon/multipage-parallax/index.html)
12:01:02	3359/3359	---M-Z	200	added ('OK')	text/css	date:Thu,%2015%20Jun%202023%2021:25:57%20GMT	https://duruthemes.com/demo/html/ovon/multipage-parallax/css/flaticon.css	C:/My%20Web%20Sites/bride1/duruthemes.com/demo/html/ovon/multipage-parallax/css/flaticon.css	(from https://duruthemes.com/demo/html/ovon/multipage-parallax/index.html)
12:01:02	194652/194652	---M-Z	200	added ('OK')	text/css	date:Thu,%2015%20Jun%202023%2021:25:56%20GMT	https://duruthemes.com/demo/html/ovon/multipage-parallax/css/bootstrap.min.css	C:/My%20Web%20Sites/bride1/duruthemes.com/demo/html/ovon/multipage-parallax/css/bootstrap.min.css	(from https://duruthemes.com/demo/html/ovon/multipage-parallax/index.html)
12:01:02	7782/7782	---M-Z	200	added ('OK')	text/css	date:Thu,%2015%20Jun%202023%2021:25:56%20GMT	https://duruthemes.com/demo/html/ovon/multipage-parallax/css/magnific-popup.css	C:/My%20Web%20Sites/bride1/duruthemes.com/demo/html/ovon/multipage-parallax/css/magnific-popup.css	(from https://duruthemes.com/demo/html/ovon/multipage-parallax/index.html)
12:01:02	3228/3228	---M-Z	200	added ('OK')	text/css	date:Thu,%2015%20Jun%202023%2021:25:57%20GMT	https://duruthemes.com/demo/html/ovon/multipage-parallax/css/owl.carousel.css	C:/My%20Web%20Sites/bride1/duruthemes.com/demo/html/ovon/multipage-parallax/css/owl.carousel.css	(from https://duruthemes.com/demo/html/ovon/multipage-parallax/index.html)
12:01:03	1013/1013	---M-Z	200	added ('OK')	text/css	date:Thu,%2015%20Jun%202023%2021:25:56%20GMT	https://duruthemes.com/demo/html/ovon/multipage-parallax/css/owl.theme.default.min.css	C:/My%20Web%20Sites/bride1/duruthemes.com/demo/html/ovon/multipage-parallax/css/owl.theme.default.min.css	(from https://duruthemes.com/demo/html/ovon/multipage-parallax/index.html)
12:01:03	57183/57183	---M-Z	200	added ('OK')	text/css	date:Thu,%2015%20Jun%202023%2021:25:57%20GMT	https://duruthemes.com/demo/html/ovon/multipage-parallax/css/style.css	C:/My%20Web%20Sites/bride1/duruthemes.com/demo/html/ovon/multipage-parallax/css/style.css	(from https://duruthemes.com/demo/html/ovon/multipage-parallax/index.html)
